"dates","fx"
2022-01-03,4.5788
2022-01-04,4.5644
2022-01-05,4.5754
2022-01-06,4.5552
2022-01-07,4.5452
2022-01-10,4.5415
2022-01-11,4.5383
2022-01-12,4.5262
2022-01-13,4.5421
2022-01-14,4.5367
2022-01-17,4.5246
2022-01-18,4.5326
2022-01-19,4.5231
2022-01-20,4.5253
2022-01-21,4.5307
2022-01-24,4.566
2022-01-25,4.5809
2022-01-26,4.5865
2022-01-27,4.5607
2022-01-28,4.5827
2022-01-31,4.5828
2022-02-01,4.5705
2022-02-02,4.5402
2022-02-03,4.5412
2022-02-04,4.5658
2022-02-07,4.5371
2022-02-08,4.5285
2022-02-09,4.517
2022-02-10,4.5055
2022-02-11,4.5707
2022-02-14,4.5487
2022-02-15,4.4969
2022-02-16,4.4971
2022-02-17,4.5256
2022-02-18,4.5291
2022-02-21,4.5432
2022-02-22,4.5458
2022-02-23,4.5846
2022-02-24,4.6273
2022-02-25,4.6341
2022-02-28,4.7011
2022-03-01,4.7477
2022-03-02,4.7422
2022-03-03,4.8141
2022-03-04,4.8905
2022-03-07,4.9825
2022-03-08,4.87
2022-03-09,4.7757
2022-03-10,4.7899
2022-03-11,4.7881
2022-03-14,4.7483
2022-03-15,4.7109
2022-03-16,4.6608
2022-03-17,4.6857
2022-03-18,4.7174
2022-03-21,4.6933
2022-03-22,4.677
2022-03-23,4.7194
2022-03-24,4.772
2022-03-25,4.6857
2022-03-28,4.6958
2022-03-29,4.6604
2022-03-30,4.6407
2022-03-31,4.6463
2022-04-01,4.6385
2022-04-04,4.625
2022-04-05,4.6482
2022-04-06,4.6619
2022-04-07,4.6365
2022-04-08,4.6348
2022-04-11,4.6619
2022-04-12,4.6416
2022-04-13,4.6386
2022-04-14,4.642
2022-04-15,4.6302
2022-04-18,4.6246
2022-04-19,4.6444
2022-04-20,4.6398
2022-04-21,4.6401
2022-04-22,4.6509
2022-04-25,4.6435
2022-04-26,4.7159
2022-04-27,4.7089
2022-04-28,4.6916
2022-04-29,4.6762
2022-05-02,4.6953
2022-05-03,4.6915
2022-05-04,4.7226
2022-05-05,4.6974
2022-05-06,4.712
2022-05-09,4.6932
2022-05-10,4.6819
2022-05-11,4.675
2022-05-12,4.6677
2022-05-13,4.6819
2022-05-16,4.6579
2022-05-17,4.654
2022-05-18,4.6455
2022-05-19,4.6458
2022-05-20,4.6296
2022-05-23,4.6119
2022-05-24,4.5969
2022-05-25,4.6008
2022-05-26,4.605
2022-05-27,4.5721
2022-05-30,4.5846
2022-05-31,4.5835
2022-06-01,4.5887
2022-06-02,4.5789
2022-06-03,4.589
2022-06-06,4.5843
2022-06-07,4.5774
2022-06-08,4.5879
2022-06-09,4.6074
2022-06-10,4.6089
2022-06-13,4.6517
2022-06-14,4.6599
2022-06-15,4.6604
2022-06-16,4.7245
2022-06-17,4.679
2022-06-20,4.6428
2022-06-21,4.6372
2022-06-22,4.7002
2022-06-23,4.7097
2022-06-24,4.6913
2022-06-27,4.6827
2022-06-28,4.6982
2022-06-29,4.67
2022-06-30,4.6995
2022-07-01,4.6894
2022-07-04,4.7148
2022-07-05,4.747
2022-07-06,4.7799
2022-07-07,4.7825
2022-07-08,4.7742
2022-07-11,4.8039
2022-07-12,4.819
2022-07-13,4.8302
2022-07-14,4.8183
2022-07-15,4.7814
2022-07-18,4.7964
2022-07-19,4.7517
2022-07-20,4.7737
2022-07-21,4.7652
2022-07-22,4.7409
2022-07-25,4.7251
2022-07-26,4.7617
2022-07-27,4.7837
2022-07-28,4.7587
2022-07-29,4.7388
2022-08-01,4.7194
2022-08-02,4.7222
2022-08-03,4.6988
2022-08-04,4.7157
2022-08-05,4.7086
2022-08-08,4.6977
2022-08-09,4.7014
2022-08-10,4.6764
2022-08-11,4.686
2022-08-12,4.6594
2022-08-15,4.6816
2022-08-16,4.6723
2022-08-17,4.7015
2022-08-18,4.73
2022-08-19,4.7508
2022-08-22,4.7629
2022-08-23,4.7718
2022-08-24,4.771
2022-08-25,4.7395
2022-08-26,4.7359
2022-08-29,4.7363
2022-08-30,4.7253
2022-08-31,4.7237
2022-09-01,4.7165
2022-09-02,4.7216
2022-09-05,4.7228
2022-09-06,4.7306
2022-09-07,4.7067
2022-09-08,4.7073
2022-09-09,4.696
2022-09-12,4.6926
2022-09-13,4.7195
2022-09-14,4.7155
2022-09-15,4.7224
2022-09-16,4.7212
2022-09-19,4.7041
2022-09-20,4.7341
2022-09-21,4.7729
2022-09-22,4.7496
2022-09-23,4.7587
2022-09-26,4.7559
2022-09-27,4.7873
2022-09-28,4.8084
2022-09-29,4.8544
2022-09-30,4.8561
2022-10-03,4.8279
2022-10-04,4.8123
2022-10-05,4.8189
2022-10-06,4.8892
2022-10-07,4.8589
2022-10-10,4.8577
2022-10-11,4.8496
2022-10-12,4.8469
2022-10-13,4.8042
2022-10-14,4.8033
